"V1","V2","V3"
"Ketchikan No. 1","2002","General"
"Ketchikan No. 2","2002","General"
"Ketchikan No. 3","2002","General"
"North Tongass No. 1","2002","General"
"North Tongass No. 2","2002","General"
"Saxman","2002","General"
"South Tongass","2002","General"
"Thorne Bay","2002","General"
"Coffman Cove","2002","General"
"Sitka No. 1","2002","General"
"Sitka No. 2","2002","General"
"Halibut Point","2002","General"
"Sawmill Creek","2002","General"
"Petersburg/Kupreanof","2002","General"
"Wrangell","2002","General"
"Pelican/Elfin Cove","2002","General"
"Port Alexander","2002","General"
"Douglas","2002","General"
"Juneau No. 1","2002","General"
"Juneau No. 2","2002","General"
"Juneau No. 3","2002","General"
"Juneau No. 4","2002","General"
"Juneau Airport Area","2002","General"
"Lemon Creek","2002","General"
"North Douglas","2002","General"
"Salmon Creek","2002","General"
"Switzer Creek","2002","General"
"Mendenhall Valley No. 1","2002","General"
"Mendenhall Valley No. 2","2002","General"
"Mendenhall Valley No. 3","2002","General"
"Mendenhall Valley No. 4","2002","General"
"Auke Bay/Fritz Cove","2002","General"
"Lynn Canal","2002","General"
"Angoon","2002","General"
"Cordova","2002","General"
"Craig","2002","General"
"Gustavus","2002","General"
"Haines Chilkat Peninsula","2002","General"
"Haines No. 1","2002","General"
"Haines Highway","2002","General"
"Hoonah","2002","General"
"Hydaburg","2002","General"
"Kake","2002","General"
"Kasaan","2002","General"
"Klawock","2002","General"
"Klukwan","2002","General"
"Metlakatla","2002","General"
"Northern Prince of Wales","2002","General"
"Skagway","2002","General"
"Tatitlek","2002","General"
"Tenakee","2002","General"
"Yakutat","2002","General"
"Allakaket","2002","General"
"Aniak","2002","General"
"Anvik","2002","General"
"Arctic Village","2002","General"
"Beaver","2002","General"
"Bettles","2002","General"
"Central","2002","General"
"Chalkyitsik","2002","General"
"Chistochina","2002","General"
"Chuathbaluk","2002","General"
"Circle","2002","General"
"Copper Center","2002","General"
"Crooked Creek","2002","General"
"Deltana","2002","General"
"Dot Lake","2002","General"
"Eagle","2002","General"
"Fort Yukon","2002","General"
"Gakona","2002","General"
"Galena","2002","General"
"Grayling","2002","General"
"Holy Cross","2002","General"
"Hughes","2002","General"
"Huslia","2002","General"
"Kaltag","2002","General"
"Kenny Lake","2002","General"
"Koyukuk","2002","General"
"Livengood","2002","General"
"Manley Hot Springs","2002","General"
"Marshall","2002","General"
"McGrath","2002","General"
"Mentasta","2002","General"
"Minto","2002","General"
"Nenana","2002","General"
"Nikolai","2002","General"
"Northway","2002","General"
"Nulato","2002","General"
"Rampart","2002","General"
"Ruby","2002","General"
"Russian Mission","2002","General"
"Shageluk","2002","General"
"Sleetmute","2002","General"
"Stevens Village","2002","General"
"Stony River","2002","General"
"Takotna","2002","General"
"Tanacross","2002","General"
"Tanana","2002","General"
"Tetlin","2002","General"
"Tok","2002","General"
"Tyonek","2002","General"
"Venetie","2002","General"
"Chatanika","2002","General"
"Farmers Loop","2002","General"
"Fox","2002","General"
"Goldstream No. 1","2002","General"
"Shanly","2002","General"
"Steele Creek/Gilmore","2002","General"
"Steese East","2002","General"
"Steese West","2002","General"
"Two Rivers","2002","General"
"Anderson","2002","General"
"Cantwell","2002","General"
"Chena","2002","General"
"Clear","2002","General"
"Denali Park","2002","General"
"Ester","2002","General"
"Geist","2002","General"
"Goldstream No. 2","2002","General"
"Healy","2002","General"
"Pike","2002","General"
"University Campus","2002","General"
"University Hills","2002","General"
"University West","2002","General"
"Airport","2002","General"
"Aurora","2002","General"
"Fairbanks No. 1","2002","General"
"Fairbanks No. 3","2002","General"
"Fairbanks No. 4","2002","General"
"Fairbanks No. 5","2002","General"
"Fairbanks No. 6","2002","General"
"Fairbanks No. 7","2002","General"
"Fairbanks No. 10","2002","General"
"Fairbanks No. 2","2002","General"
"Fairbanks No. 8","2002","General"
"Fairbanks No. 9","2002","General"
"Fort Wainwright","2002","General"
"Lakeview","2002","General"
"Badger No. 1","2002","General"
"Badger No. 2","2002","General"
"Chena Lakes","2002","General"
"Moose Creek","2002","General"
"Newby","2002","General"
"North Pole","2002","General"
"Plack","2002","General"
"Richardson","2002","General"
"Big Delta","2002","General"
"Delta Junction","2002","General"
"Eielson","2002","General"
"Farm Loop","2002","General"
"Glennallen","2002","General"
"Paxson","2002","General"
"Salcha","2002","General"
"Sheep Mountain","2002","General"
"Sutton","2002","General"
"Valdez No. 1","2002","General"
"Valdez No. 2","2002","General"
"Valdez No. 3","2002","General"
"Fishhook","2002","General"
"Greater Palmer","2002","General"
"Lakes","2002","General"
"Mat-Su Campus","2002","General"
"Palmer","2002","General"
"Palmer Fishhook","2002","General"
"Pioneer Peak","2002","General"
"Trunk","2002","General"
"Walby Lake","2002","General"
"Kings Lake","2002","General"
"Knik","2002","General"
"Schrock","2002","General"
"Seward Meridian","2002","General"
"Wasilla Lake","2002","General"
"Wasilla No. 1","2002","General"
"Wasilla No. 2","2002","General"
"Big Lake","2002","General"
"Houston","2002","General"
"Knik Goose Bay","2002","General"
"Meadow Lakes No. 1","2002","General"
"Meadow Lakes No. 2","2002","General"
"Susitna","2002","General"
"Talkeetna","2002","General"
"Trapper Creek","2002","General"
"Willow","2002","General"
"Butte","2002","General"
"Eklutna","2002","General"
"Fairview","2002","General"
"Lazy Mountain","2002","General"
"Peters Creek No. 1","2002","General"
"Peters Creek No. 2","2002","General"
"Snowshoe","2002","General"
"Springer Loop","2002","General"
"Chugach Park No. 3","2002","General"
"Dntn Eagle River No. 1","2002","General"
"Dntn Eagle River No. 2","2002","General"
"Eagle River No. 1","2002","General"
"Eagle River No. 2","2002","General"
"Meadow Creek No. 1","2002","General"
"Meadow Creek No. 2","2002","General"
"Elmendorf","2002","General"
"Fire Lake","2002","General"
"Fort Richardson","2002","General"
"Government Hill No. 2","2002","General"
"North Muldoon","2002","General"
"Cheney Lake","2002","General"
"Creekside Park","2002","General"
"Muldoon No. 1","2002","General"
"Muldoon No. 2","2002","General"
"Muldoon No. 3","2002","General"
"Muldoon No. 4","2002","General"
"Nunaka Valley","2002","General"
"Northeast Anchorage","2002","General"
"North Mtn. View No. 1","2002","General"
"North Mtn. View No. 2","2002","General"
"South Mtn. View No. 1","2002","General"
"Wonder Park","2002","General"
"Baxter","2002","General"
"Chester Valley","2002","General"
"Chugach Foothills No. 1","2002","General"
"Chugach Foothills No. 2","2002","General"
"Reflection Lake","2002","General"
"Scenic Park","2002","General"
"Airport Heights No. 1","2002","General"
"Airport Heights No. 2","2002","General"
"College Gate","2002","General"
"East Anchorage","2002","General"
"Russian Jack","2002","General"
"South Mtn. View No. 2","2002","General"
"University No. 1","2002","General"
"University No. 2","2002","General"
"Downtown Anchorage No. 1","2002","General"
"Downtown Anchorage No. 2","2002","General"
"Downtown Anchorage No. 3","2002","General"
"Downtown Anchorage No. 4","2002","General"
"Fireweed","2002","General"
"Government Hill No. 1","2002","General"
"Merrill Field","2002","General"
"Rodgers Park","2002","General"
"East Dowling","2002","General"
"Far North Bicentennial","2002","General"
"Midtown No. 1","2002","General"
"Midtown No. 2","2002","General"
"Midtown No. 3","2002","General"
"Taku","2002","General"
"Tudor","2002","General"
"Arctic","2002","General"
"Conners Lake","2002","General"
"Northwood","2002","General"
"Spenard No. 1","2002","General"
"Spenard No. 2","2002","General"
"Spenard No. 3","2002","General"
"Westchester No. 1","2002","General"
"Willowcrest No. 1","2002","General"
"Willowcrest No. 2","2002","General"
"Inlet View No. 1","2002","General"
"Inlet View No. 2","2002","General"
"Lake Hood","2002","General"
"Lake Spenard","2002","General"
"Turnagain No. 1","2002","General"
"Turnagain No. 2","2002","General"
"Turnagain No. 3","2002","General"
"Turnagain No. 4","2002","General"
"Westchester No. 2","2002","General"
"Dimond No. 1","2002","General"
"Jewel Lake No. 1","2002","General"
"Kincaid","2002","General"
"Sand Lake No. 1","2002","General"
"Sand Lake No. 2","2002","General"
"Sand Lake No. 3","2002","General"
"Bayshore","2002","General"
"Campbell Lake","2002","General"
"Jewel Lake No. 2","2002","General"
"Klatt No. 1","2002","General"
"Oceanview No. 1","2002","General"
"Southport","2002","General"
"Campbell Creek No. 1","2002","General"
"Campbell Creek No. 2","2002","General"
"Campbell Creek No. 3","2002","General"
"Dimond No. 2","2002","General"
"Dimond No. 3","2002","General"
"Independence Park 1","2002","General"
"Independence Park 2","2002","General"
"Abbott Loop No. 1","2002","General"
"Abbott Loop No. 2","2002","General"
"Abbott Loop No. 3","2002","General"
"Abbott Loop No. 4","2002","General"
"Laurel/Dowling","2002","General"
"Lore No. 1","2002","General"
"Lore No. 2","2002","General"
"Huffman No. 1","2002","General"
"Huffman No. 2","2002","General"
"Huffman No. 3","2002","General"
"Huffman No. 4","2002","General"
"Huffman No. 5","2002","General"
"Huffman No. 6","2002","General"
"Huffman No. 7","2002","General"
"Huffman No. 8","2002","General"
"Bear Valley","2002","General"
"Centennial Park","2002","General"
"Chugach Park No. 1","2002","General"
"Chugach Park No. 2","2002","General"
"Girdwood","2002","General"
"Golden View","2002","General"
"Hiland","2002","General"
"Hope","2002","General"
"Indian","2002","General"
"Rabbit Creek","2002","General"
"Stuckagain Heights","2002","General"
"Whittier","2002","General"
"Kenai No. 1","2002","General"
"Kenai No. 2","2002","General"
"Kenai No. 3","2002","General"
"K-Beach","2002","General"
"Soldotna","2002","General"
"Funny River","2002","General"
"Kasilof","2002","General"
"Mackey Lake","2002","General"
"Nikiski","2002","General"
"Ninilchik","2002","General"
"Scout Lake","2002","General"
"Salamatoff","2002","General"
"Sterling","2002","General"
"Homer No. 1","2002","General"
"Homer No. 2","2002","General"
"Anchor Point","2002","General"
"Bear Creek","2002","General"
"Cooper Landing","2002","General"
"Diamond Ridge","2002","General"
"Kachemak Bay","2002","General"
"Kachemak City/Fritz Creek","2002","General"
"Moose Pass","2002","General"
"Seldovia","2002","General"
"Seward","2002","General"
"Cape Chiniak","2002","General"
"Flats","2002","General"
"Kodiak Island South","2002","General"
"Kodiak No. 1","2002","General"
"Kodiak No. 2","2002","General"
"Mission Road","2002","General"
"Old Harbor","2002","General"
"Ouzinkie","2002","General"
"Port Lions","2002","General"
"Iliamna/Newhalen","2002","General"
"Kokhanok/Igiugig","2002","General"
"Levelock","2002","General"
"Nondalton","2002","General"
"Pedro Bay","2002","General"
"Akutan","2002","General"
"Aleknagik","2002","General"
"Aleutians No. 1","2002","General"
"Aleutians No. 2","2002","General"
"Chigniks","2002","General"
"Clarks Point","2002","General"
"Cold Bay","2002","General"
"Dillingham","2002","General"
"Egegik-Pilot Point","2002","General"
"Ekwok","2002","General"
"King Cove","2002","General"
"King Salmon","2002","General"
"Koliganek","2002","General"
"Manokotak","2002","General"
"Naknek","2002","General"
"New Stuyahok","2002","General"
"Port Heiden","2002","General"
"Sand Point","2002","General"
"South Naknek","2002","General"
"St. George Island","2002","General"
"St. Paul Island","2002","General"
"Togiak","2002","General"
"Akiachak","2002","General"
"Akiak","2002","General"
"Atmautluak","2002","General"
"Bethel No. 1","2002","General"
"Bethel No. 2","2002","General"
"Bethel No. 3","2002","General"
"Chefornak","2002","General"
"Eek","2002","General"
"Goodnews Bay","2002","General"
"Kalskag","2002","General"
"Kasigluk","2002","General"
"Kipnuk","2002","General"
"Kongiganak","2002","General"
"Kwethluk","2002","General"
"Kwigillingok","2002","General"
"Lower Kalskag","2002","General"
"Mekoryuk","2002","General"
"Napakiak","2002","General"
"Napaskiak","2002","General"
"Newtok","2002","General"
"Nightmute","2002","General"
"Nunapitchuk","2002","General"
"Quinhagak","2002","General"
"Toksook Bay","2002","General"
"Tuluksak","2002","General"
"Tuntutuliak","2002","General"
"Tununak","2002","General"
"Alakanuk","2002","General"
"Brevig Mission","2002","General"
"Chevak","2002","General"
"Diomede","2002","General"
"Elim","2002","General"
"Emmonak","2002","General"
"Gambell","2002","General"
"Golovin","2002","General"
"Hooper Bay","2002","General"
"Kotlik","2002","General"
"Koyuk","2002","General"
"Mountain Village","2002","General"
"Nome No. 1","2002","General"
"Nome No. 2","2002","General"
"Nunam Iqua","2002","General"
"Pilot Station","2002","General"
"Pitkas Point","2002","General"
"Savoonga","2002","General"
"Scammon Bay","2002","General"
"Shaktoolik","2002","General"
"St. Mary's","2002","General"
"St. Michael","2002","General"
"Stebbins","2002","General"
"Teller","2002","General"
"Unalakleet","2002","General"
"Wales","2002","General"
"White Mountain","2002","General"
"Ambler","2002","General"
"Anaktuvuk Pass","2002","General"
"Atqasuk","2002","General"
"Barrow","2002","General"
"Browerville","2002","General"
"Buckland","2002","General"
"Deering","2002","General"
"Kaktovik","2002","General"
"Kiana","2002","General"
"Kivalina","2002","General"
"Kobuk","2002","General"
"Kotzebue","2002","General"
"Noatak","2002","General"
"Noorvik","2002","General"
"Nuiqsut","2002","General"
"Point Hope","2002","General"
"Point Lay","2002","General"
"Prudhoe Bay","2002","General"
"Selawik","2002","General"
"Shishmaref","2002","General"
"Shungnak","2002","General"
"Wainwright","2002","General"
"District 1 Absentee","2002","General"
"District 1 Question","2002","General"
"District 2 Absentee","2002","General"
"District 2 Question","2002","General"
"District 3 Absentee","2002","General"
"District 3 Question","2002","General"
"District 4 Absentee","2002","General"
"District 4 Question","2002","General"
"District 5 Absentee","2002","General"
"District 5 Question","2002","General"
"District 6 Absentee","2002","General"
"District 6 Question","2002","General"
"District 7 Absentee","2002","General"
"District 7 Question","2002","General"
"District 8 Absentee","2002","General"
"District 8 Question","2002","General"
"District 9 Absentee","2002","General"
"District 9 Question","2002","General"
"District 10 Absentee","2002","General"
"District 10 Question","2002","General"
"District 11 Absentee","2002","General"
"District 11 Question","2002","General"
"District 12 Absentee","2002","General"
"District 12 Question","2002","General"
"District 13 Absentee","2002","General"
"District 13 Question","2002","General"
"District 14 Absentee","2002","General"
"District 14 Question","2002","General"
"District 15 Absentee","2002","General"
"District 15 Question","2002","General"
"District 16 Absentee","2002","General"
"District 16 Question","2002","General"
"District 17 Absentee","2002","General"
"District 17 Question","2002","General"
"District 18 Absentee","2002","General"
"District 18 Question","2002","General"
"District 19 Absentee","2002","General"
"District 19 Question","2002","General"
"District 20 Absentee","2002","General"
"District 20 Question","2002","General"
"District 21 Absentee","2002","General"
"District 21 Question","2002","General"
"District 22 Absentee","2002","General"
"District 22 Question","2002","General"
"District 23 Absentee","2002","General"
"District 23 Question","2002","General"
"District 24 Absentee","2002","General"
"District 24 Question","2002","General"
"District 25 Absentee","2002","General"
"District 25 Question","2002","General"
"District 26 Absentee","2002","General"
"District 26 Question","2002","General"
"District 27 Absentee","2002","General"
"District 27 Question","2002","General"
"District 28 Absentee","2002","General"
"District 28 Question","2002","General"
"District 29 Absentee","2002","General"
"District 29 Question","2002","General"
"District 30 Absentee","2002","General"
"District 30 Question","2002","General"
"District 31 Absentee","2002","General"
"District 31 Question","2002","General"
"District 32 Absentee","2002","General"
"District 32 Question","2002","General"
"District 33 Absentee","2002","General"
"District 33 Question","2002","General"
"District 34 Absentee","2002","General"
"District 34 Question","2002","General"
"District 35 Absentee","2002","General"
"District 35 Question","2002","General"
"District 36 Absentee","2002","General"
"District 36 Question","2002","General"
"District 37 Absentee","2002","General"
"District 37 Question","2002","General"
"District 38 Absentee","2002","General"
"District 38 Question","2002","General"
"District 39 Absentee","2002","General"
"District 39 Question","2002","General"
